# Values shown are for the Exit End of each Element:
# Index  name      key                      s       l           b          b1        beta       alpha        beta       alpha
#                                                             max    gradient           a           a           b           b
    135  QHX16     Quadrupole          48.175   0.084         ---  3.5714E+01  1.6127E+01 -6.9931E-01  2.5527E+01  1.2233E+00
    136  DU4H      Drift               48.238   0.063         ---         ---  1.6215E+01 -7.0512E-01  2.5373E+01  1.2171E+00
    137  RFBHX16   Instrument          48.288   0.050         ---         ---  1.6286E+01 -7.0974E-01  2.5252E+01  1.2122E+00
    138  DU5H      Drift               48.366   0.078         ---         ---  1.6397E+01 -7.1692E-01  2.5064E+01  1.2046E+00
    139  PSHXH     Taylor              48.391   0.025         ---         ---  1.6432E+01 -7.1920E-01  2.5004E+01  1.2023E+00
    140  MPHH      Marker              48.391   0.000         ---         ---  1.6432E+01 -7.1920E-01  2.5004E+01  1.2023E+00
    141  PSHXH     Taylor              48.415   0.025         ---         ---  1.6468E+01 -7.2149E-01  2.4945E+01  1.1999E+00
    142  DU6H      Drift               48.500   0.084         ---         ---  1.6591E+01 -7.2929E-01  2.4743E+01  1.1916E+00
    143  VVHXU16   Marker              48.500   0.000         ---         ---  1.6591E+01 -7.2929E-01  2.4743E+01  1.1916E+00
    144  DU7H      Drift               48.589   0.089         ---         ---  1.6721E+01 -7.3750E-01  2.4532E+01  1.1829E+00
    145  DU1H      Drift               48.630   0.041         ---         ---  1.6782E+01 -7.4129E-01  2.4435E+01  1.1789E+00
    146  DU2H      Drift               48.630   0.000         ---         ---  1.6782E+01 -7.4129E-01  2.4435E+01  1.1789E+00
    147  DTHXU     Drift               48.639   0.009         ---         ---  1.6795E+01 -7.4212E-01  2.4414E+01  1.1780E+00
    148  UMAHX17   Wiggler             51.993   3.354  8.2383E-01         ---  2.2734E+01 -1.0264E+00  1.7611E+01  8.5000E-01
    149  DTHXU     Drift               52.002   0.009         ---         ---  2.2753E+01 -1.0272E+00  1.7596E+01  8.4912E-01
    150  DU3H      Drift               52.053   0.051         ---         ---  2.2858E+01 -1.0318E+00  1.7510E+01  8.4413E-01
    151  BLMH17    Instrument          52.053   0.000         ---         ---  2.2858E+01 -1.0318E+00  1.7510E+01  8.4413E-01
    152  DU3H      Drift               52.104   0.051         ---         ---  2.2963E+01 -1.0364E+00  1.7424E+01  8.3915E-01
    153  QHX17     Quadrupole          52.188   0.084         --- -3.5714E+01  2.2955E+01  1.1349E+00  1.7422E+01 -8.1404E-01
    154  DU4H      Drift               52.251   0.063         ---         ---  2.2812E+01  1.1286E+00  1.7525E+01 -8.2005E-01
    155  RFBHX17   Instrument          52.301   0.050         ---         ---  2.2700E+01  1.1236E+00  1.7607E+01 -8.2482E-01
    156  DU5H      Drift               52.378   0.078         ---         ---  2.2525E+01  1.1159E+00  1.7736E+01 -8.3224E-01
    157  PSHXH     Taylor              52.403   0.025         ---         ---  2.2470E+01  1.1134E+00  1.7777E+01 -8.3456E-01
    158  MPHH      Marker              52.403   0.000         ---         ---  2.2470E+01  1.1134E+00  1.7777E+01 -8.3456E-01
    159  PSHXH     Taylor              52.428   0.025         ---         ---  2.2415E+01  1.1110E+00  1.7819E+01 -8.3688E-01
    160  DU6H      Drift               52.512   0.084         ---         ---  2.2228E+01  1.1025E+00  1.7961E+01 -8.4494E-01
    161  VVHXU17   Marker              52.512   0.000         ---         ---  2.2228E+01  1.1025E+00  1.7961E+01 -8.4494E-01
    162  DU7H      Drift               52.601   0.089         ---         ---  2.2033E+01  1.0937E+00  1.8112E+01 -8.5343E-01
    163  DU1H      Drift               52.642   0.041         ---         ---  2.1943E+01  1.0896E+00  1.8182E+01 -8.5734E-01
    164  DU2H      Drift               52.642   0.000         ---         ---  2.1943E+01  1.0896E+00  1.8182E+01 -8.5734E-01
    165  DTHXU     Drift               52.651   0.009         ---         ---  2.1924E+01  1.0887E+00  1.8197E+01 -8.5820E-01
    166  UMAHX18   Wiggler             56.005   3.354  8.2383E-01         ---  1.5676E+01  7.7174E-01  2.5027E+01 -1.1783E+00
    167  DTHXU     Drift               56.014   0.009         ---         ---  1.5662E+01  7.7083E-01  2.5049E+01 -1.1791E+00
    168  DU3H      Drift               56.065   0.051         ---         ---  1.5584E+01  7.6564E-01  2.5169E+01 -1.1840E+00
    169  BLMH18    Instrument          56.065   0.000         ---         ---  1.5584E+01  7.6564E-01  2.5169E+01 -1.1840E+00
    170  DU3H      Drift               56.116   0.051         ---         ---  1.5506E+01  7.6044E-01  2.5290E+01 -1.1889E+00
    171  QHX18     Quadrupole          56.200   0.084         ---  3.5714E+01  1.5502E+01 -7.1178E-01  2.5289E+01  1.2036E+00
    172  DU4H      Drift               56.263   0.063         ---         ---  1.5592E+01 -7.1790E-01  2.5138E+01  1.1975E+00
    173  RFBHX18   Instrument          56.313   0.050         ---         ---  1.5664E+01 -7.2276E-01  2.5018E+01  1.1927E+00
    174  DU5H      Drift               56.391   0.078         ---         ---  1.5777E+01 -7.3032E-01  2.4833E+01  1.1852E+00
    175  PSHXH     Taylor              56.416   0.025         ---         ---  1.5813E+01 -7.3272E-01  2.4775E+01  1.1828E+00
    176  MPHH      Marker              56.416   0.000         ---         ---  1.5813E+01 -7.3272E-01  2.4775E+01  1.1828E+00
    177  PSHXH     Taylor              56.441   0.025         ---         ---  1.5849E+01 -7.3513E-01  2.4716E+01  1.1805E+00
    178  DU6H      Drift               56.525   0.084         ---         ---  1.5974E+01 -7.4334E-01  2.4517E+01  1.1723E+00
    179  VVHXU18   Marker              56.525   0.000         ---         ---  1.5974E+01 -7.4334E-01  2.4517E+01  1.1723E+00
    180  DU7H      Drift               56.614   0.089         ---         ---  1.6107E+01 -7.5198E-01  2.4310E+01  1.1637E+00
    181  DU1H      Drift               56.655   0.041         ---         ---  1.6169E+01 -7.5597E-01  2.4214E+01  1.1597E+00
    182  DU2H      Drift               56.655   0.000         ---         ---  1.6169E+01 -7.5597E-01  2.4214E+01  1.1597E+00
    183  DTHXU     Drift               56.664   0.009         ---         ---  1.6183E+01 -7.5684E-01  2.4194E+01  1.1588E+00
    184  UMAHX19   Wiggler             60.018   3.354  8.2383E-01         ---  2.2277E+01 -1.0580E+00  1.7509E+01  8.3404E-01
    185  DTHXU     Drift               60.027   0.009         ---         ---  2.2296E+01 -1.0588E+00  1.7494E+01  8.3317E-01
    186  DU3H      Drift               60.078   0.051         ---         ---  2.2405E+01 -1.0637E+00  1.7410E+01  8.2823E-01
    187  BLMH19    Instrument          60.078   0.000         ---         ---  2.2405E+01 -1.0637E+00  1.7410E+01  8.2823E-01
    188  DU3H      Drift               60.129   0.051         ---         ---  2.2513E+01 -1.0685E+00  1.7325E+01  8.2329E-01
    189  QHX19     Quadrupole          60.213   0.084         --- -3.5714E+01  2.2514E+01  1.0606E+00  1.7325E+01 -8.2069E-01
    190  DU4H      Drift               60.276   0.063         ---         ---  2.2381E+01  1.0546E+00  1.7429E+01 -8.2678E-01
    191  RFBHX19   Instrument          60.326   0.050         ---         ---  2.2275E+01  1.0499E+00  1.7512E+01 -8.3160E-01
    192  DU5H      Drift               60.404   0.078         ---         ---  2.2113E+01  1.0426E+00  1.7642E+01 -8.3912E-01
    193  PSHXH     Taylor              60.429   0.025         ---         ---  2.2061E+01  1.0402E+00  1.7683E+01 -8.4146E-01
    194  MPHH      Marker              60.429   0.000         ---         ---  2.2061E+01  1.0402E+00  1.7683E+01 -8.4146E-01
    195  PSHXH     Taylor              60.453   0.025         ---         ---  2.2010E+01  1.0379E+00  1.7725E+01 -8.4381E-01
    196  DU6H      Drift               60.538   0.084         ---         ---  2.1835E+01  1.0299E+00  1.7868E+01 -8.5197E-01
    197  VVHXU19   Marker              60.538   0.000         ---         ---  2.1835E+01  1.0299E+00  1.7868E+01 -8.5197E-01
    198  DU7H      Drift               60.627   0.089         ---         ---  2.1653E+01  1.0215E+00  1.8021E+01 -8.6056E-01
    199  DU1H      Drift               60.668   0.041         ---         ---  2.1569E+01  1.0177E+00  1.8091E+01 -8.6451E-01
    200  DU2H      Drift               60.668   0.000         ---         ---  2.1569E+01  1.0177E+00  1.8091E+01 -8.6451E-01
    201  DUSEGH20  Drift               64.040   3.372         ---         ---  1.5779E+01  6.9942E-01  2.5020E+01 -1.1902E+00
    202  DU3H      Drift               64.091   0.051         ---         ---  1.5708E+01  6.9461E-01  2.5142E+01 -1.1951E+00
    203  DU3H      Drift               64.142   0.051         ---         ---  1.5637E+01  6.8979E-01  2.5264E+01 -1.2001E+00
    204  QHX20     Quadrupole          64.226   0.084         ---  3.5714E+01  1.5646E+01 -7.9545E-01  2.5265E+01  1.1900E+00
    205  DU4H      Drift               64.289   0.063         ---         ---  1.5747E+01 -8.0202E-01  2.5115E+01  1.1840E+00
    206  RFBHX20   Instrument          64.339   0.050         ---         ---  1.5827E+01 -8.0724E-01  2.4997E+01  1.1792E+00
    207  DU5H      Drift               64.416   0.078         ---         ---  1.5953E+01 -8.1535E-01  2.4814E+01  1.1718E+00
    208  DPHSH20   Drift               64.466   0.050         ---         ---  1.6034E+01 -8.2052E-01  2.4698E+01  1.1670E+00
    209  DU6H      Drift               64.550   0.084         ---         ---  1.6174E+01 -8.2933E-01  2.4502E+01  1.1589E+00
    210  DU7H      Drift               64.639   0.089         ---         ---  1.6322E+01 -8.3861E-01  2.4296E+01  1.1504E+00
    211  DU1H      Drift               64.680   0.041         ---         ---  1.6391E+01 -8.4289E-01  2.4202E+01  1.1465E+00
    212  DU2H      Drift               64.680   0.000         ---         ---  1.6391E+01 -8.4289E-01  2.4202E+01  1.1465E+00
    213  DTHXU     Drift               64.689   0.009         ---         ---  1.6406E+01 -8.4383E-01  2.4182E+01  1.1457E+00
    214  UMAHX21   Wiggler             68.043   3.354  8.2383E-01         ---  2.3163E+01 -1.1680E+00  1.7572E+01  8.2491E-01
    215  DTHXU     Drift               68.052   0.009         ---         ---  2.3184E+01 -1.1689E+00  1.7557E+01  8.2405E-01
    216  DU3H      Drift               68.103   0.051         ---         ---  2.3303E+01 -1.1741E+00  1.7474E+01  8.1917E-01
    217  BLMH21    Instrument          68.103   0.000         ---         ---  2.3303E+01 -1.1741E+00  1.7474E+01  8.1917E-01
    218  DU3H      Drift               68.154   0.051         ---         ---  2.3423E+01 -1.1793E+00  1.7390E+01  8.1430E-01
    219  QHX21     Quadrupole          68.238   0.084         --- -3.5714E+01  2.3435E+01  1.0366E+00  1.7392E+01 -8.3591E-01
    220  DU4H      Drift               68.301   0.063         ---         ---  2.3305E+01  1.0310E+00  1.7498E+01 -8.4206E-01
    221  RFBHX21   Instrument          68.351   0.050         ---         ---  2.3202E+01  1.0266E+00  1.7582E+01 -8.4694E-01
    222  DU5H      Drift               68.429   0.078         ---         ---  2.3043E+01  1.0197E+00  1.7715E+01 -8.5454E-01
    223  PSHXH     Taylor              68.454   0.025         ---         ---  2.2992E+01  1.0175E+00  1.7757E+01 -8.5691E-01
