description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Bellows,,3396.913,6,LTUH,round,1.500,,
Magnet Assy,YCQT42*,3397.065,23.622,LTUH,round,1.430,,
Bellows,,3397.665,6,LTUH,round,1.500,,
Magnet Chamber,QT43*,3397.817,22.94,LTUH,round,0.745,,
Flex Coupling,,3398.400,3.34,LTUH,round,1.370,,
Drift Tube,,3398.485,24,LTUH,round,1.370,,
Toroid,IM36*,3399.095,1.80,LTUH,round,0.875,,
Flex Coupling,,3399.141,4.00,LTUH,round,1.370,,
Drift Tube,,3399.243,30,LTUH,round,1.370,,
4 Way Cross,40 L/S ION PUMP*,3400.005,4.92,LTUH,round,1.370,,
Flex Coupling,,3400.130,4.00,LTUH,round,1.370,,
Drift Tube,YCQT42*,3400.232,24,LTUH,round,1.370,,
BPM Drift Tube,"QEM1*,BPMEM1*",3400.842,21.0,LTUH,round,0.874,,
Flex Coupling,,3401.375,4.00,LTUH,round,1.370,,
Drift Tube,,3401.477,60.0,LTUH,round,1.370,,
4 Way Cross,ROUGH OUT*,3403.001,4.92,LTUH,round,1.370,,
Drift Tube,,3403.126,60.0,LTUH,round,1.370,,
4 Way Cross,VACUUM GAUGES*,3404.650,4.92,LTUH,round,1.370,,
Flex Coupling,,3404.775,3.34,LTUH,round,1.370,,
Drift Tube,,3404.860,18,LTUH,round,1.370,,
BPM Drift Tube,"QEM2*,BPMEM2*",3405.317,21.0,LTUH,round,0.874,,
Drift Tube,XCEM2*,3405.850,60.0,LTUH,round,1.370,,
Drift Tube(2 in a row),,3407.374,120.0,LTUH,round,1.370,,
Drift Tube,BTM07*,3410.422,36.0,LTUH,round,1.370,,
4 Way Cross,40 L/S ION PUMP*,3411.336,4.92,LTUH,round,1.370,,
Bellows,,3411.461,5.20,LTUH,round,1.500,,
Drift Tube(3 in a row),,3411.593,180.0,LTUH,round,1.370,,
Drift Tube,,3416.165,36.0,LTUH,round,1.370,,
Drift Tube,YCEM3*,3417.079,28.00,LTUH,round,1.370,,
BPM Drift Tube,"QEM3*,BPMEM3*",3417.790,21.0,LTUH,round,0.874,,
Drift Tube,,3418.323,20.0,LTUH,round,1.370,,
Flex Coupling,,3418.831,4.00,LTUH,round,1.370,,
Magnet Drift Assy,QEM3V*,3418.933,10.0,LTUH,round,1.055,,
Flex Coupling,,3419.187,4.00,LTUH,round,1.370,,
Drift Tube,,3419.289,18.5,LTUH,round,1.370,,
Actuator,,3419.759,2.75,LTUH,round,1.500,,
Bellows,,3419.829,6,LTUH,round,1.500,,
Drift Tube,,3419.981,60.0,LTUH,round,1.370,,
Drift Tube,XCEM4*,3421.505,30,LTUH,round,1.370,,
Drift Tube,,3422.267,19.5,LTUH,round,1.370,,
BPM Drift Tube,"QEM4*,BPMEM4*",3422.762,21.0,LTUH,round,0.874,,
Drift Tube,,3423.295,48,LTUH,round,1.370,,
Bellows,,3424.514,5.20,LTUH,round,1.500,,
Fast Wire Scanner Assy,WS31*,3424.646,8.78,LTUH,round,1.3748,,
Bellows,,3424.869,5.20,LTUH,round,1.500,,
Drift Tube,,3425.001,60.0,LTUH,round,1.370,,
4 Way Cross,,3426.525,4.92,LTUH,round,1.370,,
Drift Tube(2 in a row),,3426.650,120.0,LTUH,round,1.370,,
4 Way Cross,,3429.698,4.92,LTUH,round,1.370,,
Drift Tube,,3429.823,60.0,LTUH,round,1.370,,
4 Way Cross,,3431.347,4.92,LTUH,round,1.370,,
Flex Coupling,,3431.472,3.34,LTUH,round,1.370,,
Drift Tube,,3431.557,28.00,LTUH,round,1.370,,
Drift Tube,XCE31*,3432.268,48,LTUH,round,1.370,,
