Solid Edge,AREA,KeyW,ELEMENT,Eng_Name,L_EFF,APER,ANGLE,K1,K2,TILT,E1,E2,H1,H2,ENERGY,SUML,X Coor,Y Coor,Z Coor,X Angle,Y Angle,Z Angle,RF_Frequency,RF_Amplitude,RF_Phase,RF_Gradient,RF_Power_Fraction,Z_Length,Fringe_Field_Integral,Integrated_Field_BL,Field_B,Integrated_Field_Gradient_GL,Field_Gradient_G,XAL_Scale_Name,XAL_Scale_Value,XAL_Polarity,Magnet_X_Coor,Magnet_Y_Coor,Magnet_Z_Coor,Magnet_X_Angle,Magnet_Y_Angle,Magnet_Z_Angle,Solenoid_Strength_KS,Undulator_Period_Length,Undulator_Strength_K,X_Size,Y_Size,Section,Distance_From_Section_Start,XAL_Keyword,S_Display
,,,,,m,m,deg,1/m^2,1/m^3,deg,deg,deg,1/m,1/m,GeV,m,m,m,m,rad,rad,rad,MHz,MeV,deg,MeV/m,1,m,1,kG-m,T,kG,T/m,,,,m,m,m,rad,rad,rad,1/m,m,1,m,m,,m,,m
4263,UNDS,QUAD,QSXH47,0.433Q3.1,0.084,0.011,,-1.8284,,0.0,,,,,4.0,3.714158461E3,3.704013523E3,1.25,2.167317,0.0,-0.4669E-2,0.0,,,,,,,,,,-20.492256512569,24.395543467344,,,,,,,,,,,,,,,,,,3.704013523E3
4264,UNDS,XCOR,XCSX47,type-U,0.0,,,,,,,,,,4.0,3.714158461E3,3.704013523E3,1.25,2.167317,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704013523E3
4265,UNDS,MARK,MUQS47,,,,,,,,,,,,4.0,3.714158461E3,3.704013523E3,1.25,2.167317,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704013523E3
4266,UNDS,YCOR,YCSX47,type-U,0.0,,,,,,,,,,4.0,3.714158461E3,3.704013523E3,1.25,2.167317,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704013523E3
4269,UNDS,BPM,RFBSX47,CavityX-1,0.05,,,,,,,,,,4.0,3.714288461E3,3.704143521E3,1.25,2.167924,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704143521E3
4271,UNDS,MARK,SXR47END,,,,,,,,,,,,4.0,3.714528461E3,3.704383519E3,1.25,2.169044,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704383519E3
4272,UNDS,MARK,SXR48BEG,,,,,,,,,,,,4.0,3.714528461E3,3.704383519E3,1.25,2.169044,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.704383519E3
4284,UNDS,MARK,SXR48END,,,,,,,,,,,,4.0,3.718928461E3,3.708783471E3,1.25,2.189586,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.708783471E3
4285,UNDS,MARK,SXR49BEG,,,,,,,,,,,,4.0,3.718928461E3,3.708783471E3,1.25,2.189586,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.708783471E3
4290,UNDS,XCOR,XCPEPX1,2.19 Gap Type 4,0.0,,,,,,,,,,4.0,3.722572461E3,3.712427431E3,1.25,2.206598,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.712427431E3
